INSERT INTO `hnk` (`ID`,`helyseg`, `jogallas`, `megye`, `jaras`, `terulet`, `nepesseg`, `lakas`) VALUES
('147', 'Bakonypölöske', 'község', 'Veszprém', 'Pápai', '1104', '389', '163'),
('148', 'Bakonyság', 'község', 'Veszprém', 'Pápai', '856', '47', '55'),
('149', 'Bakonysárkány', 'község', 'Komárom-Esztergom', 'Kisbéri', '1412', '995', '396'),
('150', 'Bakonyszentiván', 'község', 'Veszprém', 'Pápai', '914', '226', '102'),
('151', 'Bakonyszentkirály', 'község', 'Veszprém', 'Zirci', '2790', '824', '385'),
('152', 'Bakonyszentlászló', 'község', 'Gyõr-Moson-Sopron', 'Pannonhalmi', '3851', '1642', '779'),
('153', 'Bakonyszombathely', 'község', 'Komárom-Esztergom', 'Kisbéri', '3652', '1425', '603'),
('154', 'Bakonyszücs', 'község', 'Veszprém', 'Pápai', '3521', '273', '153'),
('155', 'Bakonytamási', 'község', 'Veszprém', 'Pápai', '2049', '572', '271'),
('156', 'Baks', 'község', 'Csongrád-Csanád', 'Kisteleki', '6192', '1950', '868'),
('157', 'Baksa', 'község', 'Baranya', 'Sellyei', '1382', '755', '279'),
('158', 'Baktakék', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '1879', '738', '282'),
('159', 'Baktalórántháza', 'város', 'Szabolcs-Szatmár-Bereg', 'Baktalórántházai', '3524', '3799', '1169'),
('160', 'Baktüttös', 'község', 'Zala', 'Zalaegerszegi', '971', '344', '144'),
('161', 'Balajt', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '903', '525', '147'),
('162', 'Balassagyarmat', 'város', 'Nógrád', 'Balassagyarmati', '2333', '14034', '6731'),
('163', 'Balástya', 'község', 'Csongrád-Csanád', 'Kisteleki', '11000', '3301', '1899'),
('164', 'Balaton', 'község', 'Heves', 'Bélapátfalvai', '1320', '984', '447'),
('165', 'Balatonakali', 'község', 'Veszprém', 'Balatonfüredi', '3620', '696', '382'),
('166', 'Balatonakarattya', 'község', 'Veszprém', 'Balatonalmádi', '2139', '1010', '487'),
('167', 'Balatonalmádi', 'város', 'Veszprém', 'Balatonalmádi', '4988', '9710', '4567'),
('168', 'Balatonberény', 'község', 'Somogy', 'Marcali', '2609', '1273', '665'),
('169', 'Balatonboglár', 'város', 'Somogy', 'Fonyódi', '3204', '5381', '2852'),
('170', 'Balatoncsicsó', 'község', 'Veszprém', 'Balatonfüredi', '1320', '232', '111'),
('171', 'Balatonederics', 'község', 'Veszprém', 'Tapolcai', '1858', '1026', '464'),
('172', 'Balatonendréd', 'község', 'Somogy', 'Siófoki', '4002', '1334', '588'),
('173', 'Balatonfenyves', 'község', 'Somogy', 'Fonyódi', '5193', '1969', '1209'),
('174', 'Balatonfõkajár', 'község', 'Veszprém', 'Balatonalmádi', '2192', '1401', '538'),
('175', 'Balatonföldvár', 'város', 'Somogy', 'Siófoki', '1533', '2328', '1307'),
('176', 'Balatonfüred', 'város', 'Veszprém', 'Balatonfüredi', '4645', '12790', '6423'),
('177', 'Balatonfûzfõ', 'város', 'Veszprém', 'Balatonalmádi', '925', '4665', '2074'),
('178', 'Balatongyörök', 'község', 'Zala', 'Keszthelyi', '3759', '1246', '625'),
('179', 'Balatonhenye', 'község', 'Veszprém', 'Tapolcai', '1173', '137', '58'),
('180', 'Balatonkenese', 'város', 'Veszprém', 'Balatonalmádi', '4418', '2760', '1272'),
('181', 'Balatonkeresztúr', 'község', 'Somogy', 'Marcali', '2106', '1767', '799'),
('182', 'Balatonlelle', 'város', 'Somogy', 'Fonyódi', '4323', '5495', '3342'),
('183', 'Balatonmagyaród', 'község', 'Zala', 'Nagykanizsai', '3153', '370', '259'),
('184', 'Balatonmáriafürdõ', 'község', 'Somogy', 'Marcali', '2677', '869', '419'),
('185', 'Balatonõszöd', 'község', 'Somogy', 'Siófoki', '1508', '571', '435'),
('186', 'Balatonrendes', 'község', 'Veszprém', 'Tapolcai', '676', '163', '98'),
('187', 'Balatonszabadi', 'község', 'Somogy', 'Siófoki', '4134', '3021', '1217'),
('188', 'Balatonszárszó', 'nagyközség', 'Somogy', 'Siófoki', '3012', '2061', '973'),
('189', 'Balatonszemes', 'község', 'Somogy', 'Siófoki', '3602', '1802', '1086'),
('190', 'Balatonszentgyörgy', 'község', 'Somogy', 'Marcali', '2368', '1513', '740'),
('191', 'Balatonszepezd', 'község', 'Veszprém', 'Balatonfüredi', '2506', '459', '212'),
('192', 'Balatonszõlõs', 'község', 'Veszprém', 'Balatonfüredi', '1281', '665', '223'),
('193', 'Balatonudvari', 'község', 'Veszprém', 'Balatonfüredi', '1880', '350', '181'),
('194', 'Balatonújlak', 'község', 'Somogy', 'Marcali', '1081', '405', '264'),
('195', 'Balatonvilágos', 'község', 'Somogy', 'Siófoki', '2921', '1286', '645'),
('196', 'Balinka', 'község', 'Fejér', 'Móri', '1862', '868', '379'),
('197', 'Balkány', 'város', 'Szabolcs-Szatmár-Bereg', 'Nagykállói', '9000', '6017', '2456'),
('198', 'Ballószög', 'község', 'Bács-Kiskun', 'Kecskeméti', '3500', '4301', '1377'),
('199', 'Balmazújváros', 'város', 'Hajdú-Bihar', 'Balmazújvárosi', '20544', '16954', '6857'),
('200', 'Balogunyom', 'község', 'Vas', 'Szombathelyi', '1212', '1115', '423'),
('201', 'Balotaszállás', 'község', 'Bács-Kiskun', 'Kiskunhalasi', '10494', '1393', '726'),
('202', 'Balsa', 'község', 'Szabolcs-Szatmár-Bereg', 'Ibrányi', '2252', '701', '415'),
('203', 'Bálványos', 'község', 'Somogy', 'Siófoki', '2369', '568', '263'),
('204', 'Bana', 'község', 'Komárom-Esztergom', 'Komáromi', '2511', '1562', '574'),
('205', 'Bánd', 'község', 'Veszprém', 'Veszprémi', '984', '681', '256'),
('206', 'Bánfa', 'község', 'Baranya', 'Szigetvári', '1206', '195', '80'),
('207', 'Bánhorváti', 'község', 'Borsod-Abaúj-Zemplén', 'Kazincbarcikai', '2848', '1246', '579'),
('208', 'Bánk', 'község', 'Nógrád', 'Rétsági', '990', '796', '308'),
('209', 'Bánokszentgyörgy', 'község', 'Zala', 'Letenyei', '3254', '590', '290'),
('210', 'Bánréve', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '662', '1184', '543'),
('211', 'Bár', 'község', 'Baranya', 'Mohácsi', '900', '578', '238'),
('212', 'Barabás', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '3818', '991', '381'),
('213', 'Baracs', 'község', 'Fejér', 'Dunaújvárosi', '5518', '3554', '1388'),
('214', 'Baracska', 'község', 'Fejér', 'Martonvásári', '3968', '2835', '1075'),
('215', 'Báránd', 'község', 'Hajdú-Bihar', 'Püspökladányi', '4257', '2380', '1145'),
('216', 'Baranyahídvég', 'község', 'Baranya', 'Sellyei', '849', '160', '73'),
('217', 'Baranyajenõ', 'község', 'Baranya', 'Hegyháti', '1555', '407', '157'),
('218', 'Baranyaszentgyörgy', 'község', 'Baranya', 'Hegyháti', '727', '117', '76'),
('219', 'Barbacs', 'község', 'Gyõr-Moson-Sopron', 'Csornai', '1365', '811', '316'),
('220', 'Barcs', 'város', 'Somogy', 'Barcsi', '12290', '9831', '4543'),
('221', 'Bárdudvarnok', 'község', 'Somogy', 'Kaposvári', '4856', '1084', '515'),
('222', 'Barlahida', 'község', 'Zala', 'Lenti', '610', '94', '86'),
('223', 'Bárna', 'község', 'Nógrád', 'Salgótarjáni', '1539', '965', '457'),
('224', 'Barnag', 'község', 'Veszprém', 'Veszprémi', '1201', '110', '74'),
('225', 'Bársonyos', 'község', 'Komárom-Esztergom', 'Kisbéri', '1687', '757', '299'),
('226', 'Basal', 'község', 'Baranya', 'Szigetvári', '404', '162', '77'),
('227', 'Baskó', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '2964', '166', '91'),
('228', 'Báta', 'község', 'Tolna', 'Szekszárdi', '6616', '1455', '768'),
('229', 'Bátaapáti', 'község', 'Tolna', 'Bonyhádi', '2044', '352', '141'),
('230', 'Bátaszék', 'város', 'Tolna', 'Szekszárdi', '6358', '5959', '2522'),
('231', 'Baté', 'község', 'Somogy', 'Kaposvári', '1028', '771', '298'),
('232', 'Bátmonostor', 'község', 'Bács-Kiskun', 'Bajai', '3795', '1422', '698'),
('233', 'Bátonyterenye', 'város', 'Nógrád', 'Bátonyterenyei', '7892', '11062', '5710'),
('234', 'Bátor', 'község', 'Heves', 'Egri', '2732', '373', '197'),
('235', 'Bátorliget', 'község', 'Szabolcs-Szatmár-Bereg', 'Nyírbátori', '3330', '637', '334'),
('236', 'Battonya', 'város', 'Békés', 'Mezõkovácsházai', '14571', '5406', '3012'),
('237', 'Bátya', 'község', 'Bács-Kiskun', 'Kalocsai', '3386', '1893', '939'),
('238', 'Batyk', 'község', 'Zala', 'Zalaszentgróti', '808', '344', '190'),
('239', 'Bázakerettye', 'község', 'Zala', 'Letenyei', '803', '750', '385'),
('240', 'Bazsi', 'község', 'Veszprém', 'Sümegi', '910', '398', '181'),
('241', 'Béb', 'község', 'Veszprém', 'Pápai', '704', '257', '102'),
('242', 'Becsehely', 'község', 'Zala', 'Letenyei', '3608', '1897', '755'),
('243', 'Becske', 'község', 'Nógrád', 'Balassagyarmati', '1566', '508', '292'),
('244', 'Becskeháza', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '500', '43', '33'),
('245', 'Becsvölgye', 'község', 'Zala', 'Zalaegerszegi', '2140', '745', '348'),
('246', 'Bedegkér', 'község', 'Somogy', 'Tabi', '2600', '366', '198'),
('247', 'Bedõ', 'község', 'Hajdú-Bihar', 'Berettyóújfalui', '1020', '337', '141'),
('248', 'Bejcgyertyános', 'község', 'Vas', 'Sárvári', '3143', '432', '264'),
('249', 'Békás', 'község', 'Veszprém', 'Pápai', '652', '215', '96'),
('250', 'Bekecs', 'község', 'Borsod-Abaúj-Zemplén', 'Szerencsi', '2572', '2324', '962'),
('251', 'Békés', 'város', 'Békés', 'Békési', '12723', '17817', '8378'),
('252', 'Békéscsaba', 'megyeszékhely', 'Békés', 'Békéscsabai', '19393', '57299', '29577'),
('253', 'Békéssámson', 'község', 'Békés', 'Orosházi', '7121', '2247', '1104'),
('254', 'Békésszentandrás', 'nagyközség', 'Békés', 'Szarvasi', '7745', '3404', '1927'),
('255', 'Bekölce', 'község', 'Heves', 'Bélapátfalvai', '1377', '574', '338'),
('256', 'Bélapátfalva', 'város', 'Heves', 'Bélapátfalvai', '3663', '2785', '1119'),
('257', 'Bélavár', 'község', 'Somogy', 'Barcsi', '2278', '292', '221'),
('258', 'Belecska', 'község', 'Tolna', 'Tamási', '1441', '326', '137'),
('259', 'Beled', 'város', 'Gyõr-Moson-Sopron', 'Kapuvári', '2647', '2526', '1103'),
('260', 'Beleg', 'község', 'Somogy', 'Nagyatádi', '1799', '511', '225'),
('261', 'Belezna', 'község', 'Zala', 'Nagykanizsai', '3093', '656', '286'),
('262', 'Bélmegyer', 'község', 'Békés', 'Békési', '6305', '834', '529'),
('263', 'Beloiannisz', 'község', 'Fejér', 'Dunaújvárosi', '454', '1048', '434'),
('264', 'Belsõsárd', 'község', 'Zala', 'Lenti', '979', '93', '43'),
('265', 'Belvárdgyula', 'község', 'Baranya', 'Bólyi', '1723', '366', '169'),
('266', 'Benk', 'község', 'Szabolcs-Szatmár-Bereg', 'Záhonyi', '850', '441', '174'),
('267', 'Bénye', 'község', 'Pest', 'Monori', '1652', '1249', '516'),
('268', 'Bér', 'község', 'Nógrád', 'Pásztói', '2549', '382', '196'),
('269', 'Bérbaltavár', 'község', 'Vas', 'Vasvári', '2567', '479', '289'),
('270', 'Bercel', 'község', 'Nógrád', 'Balassagyarmati', '3590', '1882', '761'),
('271', 'Beregdaróc', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '2383', '965', '344'),
('272', 'Beregsurány', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '1601', '896', '228'),
('273', 'Berekböszörmény', 'község', 'Hajdú-Bihar', 'Berettyóújfalui', '4284', '1766', '763'),
('274', 'Berekfürdõ', 'község', 'Jász-Nagykun-Szolnok', 'Karcagi', '1857', '1061', '536'),
('275', 'Beremend', 'nagyközség', 'Baranya', 'Siklósi', '4826', '2208', '1012'),
('276', 'Berente', 'község', 'Borsod-Abaúj-Zemplén', 'Kazincbarcikai', '922', '1069', '400'),
('277', 'Beret', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '677', '305', '91'),
('278', 'Berettyóújfalu', 'város', 'Hajdú-Bihar', 'Berettyóújfalui', '17101', '14376', '6541'),
('279', 'Berhida', 'város', 'Veszprém', 'Várpalotai', '4272', '5652', '2047'),
('280', 'Berkenye', 'község', 'Nógrád', 'Rétsági', '1346', '765', '294'),
('281', 'Berkesd', 'község', 'Baranya', 'Pécsi', '1904', '798', '295'),
('282', 'Berkesz', 'község', 'Szabolcs-Szatmár-Bereg', 'Kemecsei', '1318', '832', '304'),
('283', 'Bernecebaráti', 'község', 'Pest', 'Szobi', '3769', '830', '455'),
('284', 'Berzék', 'község', 'Borsod-Abaúj-Zemplén', 'Miskolci', '1059', '1108', '348'),
('285', 'Berzence', 'nagyközség', 'Somogy', 'Csurgói', '5376', '2438', '963'),
('286', 'Besence', 'község', 'Baranya', 'Sellyei', '958', '91', '44'),
('287', 'Besenyõd', 'község', 'Szabolcs-Szatmár-Bereg', 'Baktalórántházai', '945', '716', '257'),
